㐀 qiū
㐁 tiàn
㐄 kuà
㐅 wǔ
㐆 yǐn
㐌 yí
㐖 xié
㐜 chóu
㐡 nuò
㐤 dān
㐨 xù
㐩 xíng
㐫 xiōng
㐬 liú
㐭 lǐn
㐮 xiāng
㐯 yōng
㐰 xìn
㐱 zhěn
㐲 dài
㐳 wù
㐴 pān
㐵 rú
㐷 mǎ
㐸 qiàn
㐹 yì
㐺 yín
㐻 nèi
㐼 chèng
㐽 fēng
㑁 zhuō
㑂 fǎng
㑃 ǎo
㑄 wǔ
㑅 zuò
㑇 zhòu
㑈 dòng
㑉 sù
㑊 yì
㑋 qióng
㑌 kuāng
㑍 lèi
㑎 nǎo
㑏 zhù
㑐 shū
㑔 xǔ
㑗 shēn
㑘 jiè
㑙 dié
㑚 nuó
㑛 sù
㑜 yì
㑝 lòng
㑞 yìng
㑟 běng
㑣 lán
㑤 miáo
㑥 yì
㑦 lì
㑧 jì
㑨 yǔ
㑩 luó
㑪 chái
㑮 hún
㑯 xǔ
㑰 huì
㑱 rǎo
㑳 zhòu
㑵 hàn
㑶 xì
㑷 tài
㑸 yáo
㑹 huì
㑺 jùn
㑻 mà
㑼 lüè
㑽 táng
㑾 yáo
㑿 zhào
㒀 zhāi
㒁 yǔ
㒂 zhuó
㒃 èr
㒄 rǎn
㒅 qǐ
㒆 chì
㒇 wǔ
㒈 hàn
㒉 tǎng
㒊 sè
㒌 qióng
㒍 léi
㒎 sà
㒑 kuǐ
㒒 pú
㒓 tà
㒔 shú
㒕 yāng
㒖 ǒu
㒗 tái
㒙 mián
㒚 yìn
㒛 diào
㒜 yǔ
㒝 miè
㒞 jùn
㒟 niǎo
㒠 xiè
㒡 yóu
㒤 chè
㒥 fēng
㒦 lěi
㒧 lì
㒩 luǒ
㒫 jì
㒰 quán
㒲 cái
㒳 liǎng
㒴 gǔ
㒵 mào
㒷 guǎ
㒸 suì
㒻 mào
㒼 mán
㒽 quān
㒾 shì
㒿 lí
㓁 wǎng
㓂 kòu
㓃 dù
㓄 zhèn
㓅 tīng
㓈 bìng
㓉 huò
㓊 dòng
㓋 gòng
㓌 chēng
㓎 qīn
㓏 jiǒng
㓐 lù
㓑 xìng
㓓 nán
㓔 xiè
㓖 bì
㓗 jié
㓘 sù
